,latitude,longitude,depth,mag,mag_type,id,place,type,mag_nst,status,loc_source,mag_source,country,year,month
0,17.0062,96.2746,10.0,3.1,ml,us7000921c,Yangon,earthquake,6,reviewed,us,us, Myanmar,2020,04
1,31.9732,72.2567,10.0,3.4,mb,us7000f9u0,Sahiwal,earthquake,1,reviewed,us,us, Pakistan,2021,09
2,23.9312,93.0128,10.0,3.6,mb,us6000ahfx,Darlawn,earthquake,1,reviewed,us,us, India,2020,06
3,30.2767,78.1005,10.0,3.6,mb,us6000f3yt,Raipur,earthquake,3,reviewed,us,us, India,2021,08
4,28.7268,77.3516,10.0,3.7,mb,us70009ebf,Loni,earthquake,4,reviewed,us,us, India,2020,05
5,27.0534,89.5665,10.0,3.7,mb,us6000dgem,Tsimasham,earthquake,5,reviewed,us,us, Bhutan,2021,02
6,34.0145,68.8554,10.0,3.7,mb,us6000dipz,Baraki Barak,earthquake,6,reviewed,us,us, Afghanistan,2021,02
7,34.6873,77.9908,10.0,3.7,mb,us6000eqyg,Leh,earthquake,5,reviewed,us,us, India,2021,06
8,28.8336,77.3589,10.0,3.8,mb,us70008utq, Uttar Pradesh ,earthquake,11,reviewed,us,us, India,2020,04
9,22.9861,70.2272,10.0,3.8,mb,us6000acfz,Kandla,earthquake,14,reviewed,us,us, India,2020,06
10,34.0161,78.1669,10.0,3.8,mb,us6000c1i2,Leh,earthquake,16,reviewed,us,us, India,2020,09
11,28.5188,77.2852,10.0,3.8,mb,us7000cryp,Deoli,earthquake,8,reviewed,us,us, India,2020,12
12,26.774,92.4738,10.0,3.8,mb,us7000e1n0,Dhekiajuli,earthquake,10,reviewed,us,us, India,2021,05
13,21.5017,73.219,10.0,3.9,mb,us7000cc8r,Kosamba,earthquake,9,reviewed,us,us, India,2020,11
14,27.0529,89.191,10.0,3.9,mb,us60009cyy,Samtse,earthquake,7,reviewed,us,us, Bhutan,2020,04
15,26.8176,88.7828,10.0,3.9,mb,us6000dzbe,Odlabari,earthquake,14,reviewed,us,us, India,2021,04
16,21.0204,85.0848,10.0,3.9,mb,us7000eclt,Talcher,earthquake,4,reviewed,us,us, India,2021,06
17,28.9016,76.839,10.0,3.9,mb,us7000eiwa,Kharkhauda,earthquake,13,reviewed,us,us, India,2021,07
18,35.4779,70.9652,105.1,4.0,mb,us7000cdlw,Paran,earthquake,11,reviewed,us,us, Afghanistan,2020,11
19,33.7022,88.4267,10.0,4.0,mb,us7000cn1b,western Xizang,earthquake,15,reviewed,us,us,Tibet,2020,12
20,24.5467,90.1767,10.0,4.0,mb,us600084bt,Sakhipur,earthquake,17,reviewed,us,us, Bangladesh,2020,02
21,29.3551,70.0699,10.0,4.0,mb,us70008ufr,Dajal,earthquake,11,reviewed,us,us, Pakistan,2020,04
22,23.4203,86.98899999999999,10.0,4.0,mb,us70008s0k,Bankura,earthquake,5,reviewed,us,us, India,2020,04
23,23.965,88.4834,10.0,4.0,mb,us7000bd2a,Karampur,earthquake,3,reviewed,us,us, India,2020,08
24,33.9671,69.4762,10.0,4.0,mb,us7000beyh,aukamata Azrah,earthquake,14,reviewed,us,us, Afghanistan,2020,08
25,35.6192,70.1051,103.51,4.0,mb,us70006vru,Bazarak,earthquake,7,reviewed,us,us, Afghanistan,2020,01
26,32.568000000000005,78.4627,10.0,4.0,mb,us60008dp6,Manali,earthquake,11,reviewed,us,us, India,2020,03
27,19.1257,96.3104,10.0,4.0,mb,us70007vwt,Taungoo,earthquake,5,reviewed,us,us, Myanmar,2020,02
28,28.6107,87.2197,10.0,4.0,mb,us70008ffi,Lobujya,earthquake,17,reviewed,us,us, Nepal,2020,03
29,34.9652,71.3367,78.77,4.0,mb,us70008nha,asmar,earthquake,5,reviewed,us,us, Afghanistan,2020,04
30,16.8761,94.6443,10.0,4.0,mb,us70009nhw,Pathein,earthquake,5,reviewed,us,us, Myanmar,2020,05
31,30.3816,95.0064,10.0,4.0,mb,us6000b3i2,Shi Yomi,earthquake,9,reviewed,us,us, India,2020,07
32,30.4135,94.779,10.0,4.0,mb,us6000b55n,Shi Yomi,earthquake,9,reviewed,us,us, India,2020,07
33,31.9185,90.3738,10.0,4.0,mb,us6000b9mk,Nagqu,earthquake,23,reviewed,us,us, China,2020,08
