time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-22T18:47:00.201Z,17.0062,96.2746,10,3.1,ml,,275,2.919,0.62,us,us7000921c,2020-07-11T22:19:22.040Z,"25 km NNE of Yangon, Myanmar",earthquake,7,2,0.148,6,reviewed,us,us
2021-09-09T13:27:04.336Z,31.9732,72.2567,10,3.4,mb,,285,1.877,0.75,us,us7000f9u0,2021-09-09T20:57:54.470Z,"7 km W of Sahiwal, Pakistan",earthquake,10.6,2,0.49,1,reviewed,us,us
2020-06-23T13:47:32.941Z,23.9312,93.0128,10,3.6,mb,,166,1.213,0.48,us,us6000ahfx,2020-08-30T00:01:10.040Z,"12 km SE of Darlawn, India",earthquake,7.3,2,0.5,1,reviewed,us,us
2021-08-10T08:12:46.310Z,30.2767,78.1005,10,3.6,mb,,291,8.756,0.93,us,us6000f3yt,2021-08-12T05:49:20.385Z,"3 km SSE of R?ipur, India",earthquake,11.4,2,0.287,3,reviewed,us,us
2020-05-10T08:15:27.178Z,28.7268,77.3516,10,3.7,mb,,203,9.149,0.52,us,us70009ebf,2020-07-29T22:14:27.040Z,"6 km ESE of Loni, India",earthquake,8.9,2,0.253,4,reviewed,us,us
2021-02-10T14:43:43.254Z,27.0534,89.5665,10,3.7,mb,,152,2.532,0.45,us,us6000dgem,2021-04-22T21:52:30.040Z,"5 km SSE of Tsimasham, Bhutan",earthquake,8.6,1.9,0.225,5,reviewed,us,us
2021-02-18T18:18:43.335Z,34.0145,68.8554,10,3.7,mb,,230,0.547,0.94,us,us6000dipz,2021-05-19T09:45:18.892Z,"10 km WNW of Baraki Barak, Afghanistan",earthquake,5.3,2,0.225,6,reviewed,us,us
2021-06-29T19:24:35.052Z,34.6873,77.9908,10,3.7,mb,,183,4.049,0.91,us,us6000eqyg,2021-09-09T22:05:56.040Z,"68 km NNE of Leh, India",earthquake,7.5,1.9,0.224,5,reviewed,us,us
2020-04-12T12:15:02.191Z,28.8336,77.3589,10,3.8,mb,,185,5.942,0.75,us,us70008utq,2020-12-17T19:10:55.070Z,"Haryana-Delhi-Uttar Pradesh region, India",earthquake,12.6,2,0.154,11,reviewed,us,us
2020-06-15T07:27:35.084Z,22.9861,70.2272,10,3.8,mb,,193,11.56,0.96,us,us6000acfz,2020-08-22T19:14:54.040Z,"5 km SSE of K?ndla, India",earthquake,15.7,2,0.136,14,reviewed,us,us
